date,name,jump_type,trial_number,bar_load,time,fp1,fp2,total_force,phase
2021-07-17,"",cmj,11,0,7.072,349.43,355.25,704.68,Unweighting
2021-07-17,"",cmj,11,0,7.073,349.83,355.77,705.6,Unweighting
2021-07-17,"",cmj,11,0,7.074,350.35,356.18,706.53,Unweighting
2021-07-17,"",cmj,11,0,7.075,350.44,356.4,706.84,Unweighting
2021-07-17,"",cmj,11,0,7.076,350.79,356.62,707.41,Unweighting
2021-07-17,"",cmj,11,0,7.077,351.01,356.38,707.39,Unweighting
2021-07-17,"",cmj,11,0,7.078,351.49,356.63,708.12,Unweighting
2021-07-17,"",cmj,11,0,7.079,351.92,356.41,708.33,Unweighting
2021-07-17,"",cmj,11,0,7.08,351.85,356.55,708.4,Unweighting
2021-07-17,"",cmj,11,0,7.081,352.18,357.34,709.52,Unweighting
2021-07-17,"",cmj,11,0,7.082,352.27,357.45,709.72,Unweighting
2021-07-17,"",cmj,11,0,7.083,352.34,357.76,710.1,Unweighting
2021-07-17,"",cmj,11,0,7.084,352.85,357.95,710.8,Unweighting
2021-07-17,"",cmj,11,0,7.085,352.69,357.9,710.59,Unweighting
2021-07-17,"",cmj,11,0,7.086,352.99,358.33,711.32,Unweighting
2021-07-17,"",cmj,11,0,7.087,353.55,358.47,712.02,Unweighting
2021-07-17,"",cmj,11,0,7.088,353.71,359.75,713.46,Unweighting
2021-07-17,"",cmj,11,0,7.089,354.14,359.13,713.27,Unweighting
2021-07-17,"",cmj,11,0,7.09,354.22,359.89,714.11,Unweighting
2021-07-17,"",cmj,11,0,7.091,354.49,359.9,714.39,Unweighting
2021-07-17,"",cmj,11,0,7.092,355.4,360.2,715.6,Unweighting
2021-07-17,"",cmj,11,0,7.093,355.26,360.85,716.11,Unweighting
2021-07-17,"",cmj,11,0,7.094,355.89,360.99,716.88,Unweighting
2021-07-17,"",cmj,11,0,7.095,355.37,362.54,717.91,Unweighting
2021-07-17,"",cmj,11,0,7.096,356.89,362.63,719.52,Unweighting
