Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1
Date and Time,Time (s),Force Beam 1 (N),Force Beam 2 (N),Force Beam 3 (N),Force Beam 4 (N),Normal Force (N),Parallel Force (N),Force Beam 1 (N),Force Beam 2 (N),Force Beam 3 (N),Force Beam 4 (N),Normal Force (N),Parallel Force (N)
2/20/2019 21:03,"0,000","62,54","95,35","6,86","77,76","242,50","27,96","102,09","97,80","33,08","80,47","313,45","-17,34"
2/20/2019 21:03,"0,001","62,68","95,05","6,97","77,76","242,45","28,48","101,96","97,99","32,86","80,39","313,21","-17,25"
2/20/2019 21:03,"0,002","62,79","95,02","6,66","78,19","242,66","28,18","102,04","97,67","32,86","80,47","313,04","-17,08"
2/20/2019 21:03,"0,003","62,54","95,08","6,75","77,98","242,34","28,18","101,93","97,72","33,00","80,68","313,33","-17,29"
2/20/2019 21:03,"0,004","62,46","95,16","6,77","77,78","242,17","28,18","101,73","97,53","32,81","80,45","312,52","-17,16"
2/20/2019 21:03,"0,005","62,46","95,21","6,83","77,98","242,47","28,35","102,12","97,14","32,73","80,45","312,44","-17,08"
2/20/2019 21:03,"0,006","62,54","94,83","6,83","78,28","242,47","28,39","102,23","97,31","32,64","80,68","312,87","-17,03"
2/20/2019 21:03,"0,007","62,59","95,05","6,66","78,17","242,47","28,22","102,09","97,20","32,32","80,66","312,26","-17,12"
2/20/2019 21:03,"0,008","62,57","94,99","6,58","77,98","242,12","28,44","102,34","97,39","32,62","80,79","313,14","-17,12"
2/20/2019 21:03,"0,009","62,57","94,88","6,66","77,95","242,06","28,05","102,21","97,06","32,59","80,42","312,28","-17,21"
2/20/2019 21:03,"0,010","62,68","95,05","6,52","78,08","242,33","28,22","102,12","96,81","32,56","80,52","312,02","-16,99"
2/20/2019 21:03,"0,011","62,89","94,69","6,58","78,08","242,25","28,35","102,15","96,84","32,45","80,68","312,13","-17,25"
2/20/2019 21:03,"0,012","62,81","94,66","6,52","78,22","242,22","28,39","102,18","96,54","32,42","80,60","311,75","-17,34"
2/20/2019 21:03,"0,013","62,76","94,69","6,61","78,25","242,31","28,48","102,23","96,62","32,32","80,63","311,80","-17,08"
2/20/2019 21:03,"0,014","62,73","94,75","6,50","78,36","242,33","28,31","102,04","96,32","32,51","80,74","311,60","-17,38"
2/20/2019 21:03,"0,015","62,81","94,72","6,55","78,28","242,36","28,39","102,43","96,32","32,01","80,84","311,60","-17,12"
2/20/2019 21:03,"0,016","63,06","94,75","6,41","78,14","242,36","28,48","102,57","96,07","32,18","80,79","311,61","-17,34"
2/20/2019 21:03,"0,017","62,89","94,50","6,47","78,14","242,00","28,48","102,37","96,10","31,99","80,87","311,33","-17,29"
2/20/2019 21:03,"0,018","62,81","94,36","6,64","78,58","242,39","28,35","102,26","96,07","31,99","80,84","311,16","-17,25"
2/20/2019 21:03,"0,019","62,81","94,72","6,39","78,41","242,33","28,18","102,46","95,99","32,07","81,00","311,51","-16,95"
2/20/2019 21:03,"0,020","63,11","94,55","6,39","78,52","242,58","28,35","102,34","95,72","32,07","81,13","311,26","-17,08"
2/20/2019 21:03,"0,021","62,89","94,66","6,28","78,28","242,11","28,39","102,37","95,44","31,69","80,95","310,45","-17,42"
2/20/2019 21:03,"0,022","63,17","94,28","6,50","78,33","242,28","28,44","102,37","95,66","31,69","80,95","310,67","-17,03"
2/20/2019 21:03,"0,023","62,95","94,31","6,05","78,52","241,83","28,35","102,68","95,66","32,01","81,08","311,43","-17,34"
2/20/2019 21:03,"0,024","63,20","94,31","6,22","78,30","242,03","28,05","102,46","95,33","31,93","81,24","310,95","-17,21"
2/20/2019 21:03,"0,025","63,25","94,20","6,22","78,58","242,25","28,26","102,48","95,11","31,77","81,16","310,52","-17,42"
2/20/2019 21:03,"0,026","63,25","94,17","6,03","78,52","241,97","28,22","102,73","95,11","31,77","81,00","310,61","-17,34"
2/20/2019 21:03,"0,027","63,33","94,11","6,19","78,49","242,14","28,35","102,71","95,03","31,71","81,05","310,50","-17,34"
2/20/2019 21:03,"0,028","63,33","94,14","6,33","78,63","242,44","28,35","102,82","94,75","31,44","81,24","310,25","-17,21"
2/20/2019 21:03,"0,029","63,44","94,03","6,30","78,63","242,41","28,52","102,62","94,56","31,55","81,18","309,92","-17,21"
2/20/2019 21:03,"0,030","63,09","94,14","6,00","78,79","242,02","28,61","102,73","94,84","31,55","81,08","310,20","-17,29"
2/20/2019 21:03,"0,031","63,42","94,14","6,05","78,58","242,19","28,48","102,76","94,67","31,52","81,32","310,27","-17,21"
2/20/2019 21:03,"0,032","63,47","94,03","6,19","78,90","242,60","28,52","102,84","94,53","31,38","81,29","310,05","-17,03"
2/20/2019 21:03,"0,033","63,33","93,81","5,97","78,71","241,83","28,74","103,04","94,34","31,63","81,37","310,38","-17,42"
2/20/2019 21:03,"0,034","63,47","94,09","6,25","78,66","242,47","28,31","102,84","94,31","31,33","81,29","309,78","-17,60"
2/20/2019 21:03,"0,035","63,47","94,03","6,03","78,63","242,16","28,52","103,04","93,96","31,00","81,32","309,31","-17,25"
2/20/2019 21:03,"0,036","63,50","93,98","6,05","78,69","242,22","28,57","103,12","93,82","31,25","81,37","309,56","-17,42"
2/20/2019 21:03,"0,037","63,33","93,73","5,89","78,69","241,64","28,52","103,01","93,79","31,03","81,47","309,31","-17,25"
2/20/2019 21:03,"0,038","63,39","93,68","6,05","78,74","241,86","28,52","103,12","93,66","30,84","81,47","309,09","-17,25"
2/20/2019 21:03,"0,039","63,42","93,76","5,94","78,90","242,02","28,48","102,96","93,63","30,70","81,58","308,86","-17,25"
2/20/2019 21:03,"0,040","63,55","93,62","5,97","78,69","241,83","28,26","103,21","93,44","30,67","81,68","309,00","-17,42"
2/20/2019 21:03,"0,041","63,44","93,68","6,03","78,93","242,08","28,70","103,46","93,52","30,78","81,63","309,39","-17,42"
2/20/2019 21:03,"0,042","63,66","93,73","5,72","78,85","241,97","28,61","103,04","92,97","30,67","81,42","308,10","-17,38"
2/20/2019 21:03,"0,043","63,55","93,65","5,78","78,71","241,69","28,52","103,40","93,33","30,70","81,74","309,16","-17,38"
2/20/2019 21:03,"0,044","63,39","93,90","6,05","78,85","242,19","28,70","103,34","92,89","30,51","81,79","308,53","-17,42"
2/20/2019 21:03,"0,045","63,58","93,59","5,94","78,96","242,08","28,74","103,23","92,94","30,76","81,79","308,72","-17,42"
2/20/2019 21:03,"0,046","63,77","93,68","5,89","79,20","242,54","28,70","103,29","92,75","30,81","81,79","308,64","-17,38"
2/20/2019 21:03,"0,047","63,66","93,48","5,78","78,96","241,88","28,57","103,12","92,80","30,67","81,95","308,55","-17,38"
2/20/2019 21:03,"0,048","63,80","93,62","5,83","78,99","242,24","28,74","103,40","92,50","30,37","82,00","308,27","-17,42"
2/20/2019 21:03,"0,049","63,83","93,46","5,78","79,04","242,10","28,61","103,65","92,45","30,34","81,95","308,39","-17,42"
2/20/2019 21:03,"0,050","63,72","93,40","5,50","79,04","241,66","29,00","103,57","92,17","30,15","81,92","307,81","-17,38"
2/20/2019 21:03,"0,051","63,86","93,35","5,78","79,18","242,16","28,74","103,37","92,14","30,43","81,95","307,89","-17,47"
2/20/2019 21:03,"0,052","63,69","93,24","5,72","79,07","241,72","28,91","103,68","92,09","30,24","82,08","308,08","-17,47"
2/20/2019 21:03,"0,053","63,86","93,35","5,78","79,01","241,99","28,65","103,57","92,28","30,24","81,89","307,98","-17,42"
2/20/2019 21:03,"0,054","63,83","93,35","5,72","79,20","242,10","28,91","103,62","91,87","30,02","82,29","307,80","-17,34"
2/20/2019 21:03,"0,055","63,77","93,24","5,56","79,07","241,64","28,78","103,85","91,60","29,80","81,95","307,19","-17,34"
2/20/2019 21:03,"0,056","63,80","93,24","5,75","79,20","241,99","29,00","104,01","91,76","29,91","82,24","307,92","-17,47"
2/20/2019 21:03,"0,057","63,88","93,29","5,75","79,29","242,21","29,04","103,76","91,43","29,91","82,26","307,36","-17,47"
2/20/2019 21:03,"0,058","63,86","93,35","5,61","79,23","242,05","28,87","103,76","91,29","30,02","82,05","307,12","-17,68"
2/20/2019 21:03,"0,059","64,08","93,24","5,78","79,07","242,16","28,91","104,07","91,21","29,91","82,29","307,48","-17,64"
2/20/2019 21:03,"0,060","63,83","93,13","5,70","79,29","241,94","28,91","104,01","91,21","29,93","82,37","307,53","-17,77"
2/20/2019 21:03,"0,061","63,97","93,02","5,64","79,29","241,91","28,78","104,12","90,66","29,63","82,37","306,79","-17,55"
2/20/2019 21:03,"0,062","63,99","93,10","5,83","79,40","242,32","29,08","104,12","90,77","29,80","82,58","307,27","-17,38"
2/20/2019 21:03,"0,063","64,05","92,91","5,75","79,45","242,16","28,74","104,18","90,72","29,52","82,42","306,84","-17,42"
2/20/2019 21:03,"0,064","63,99","93,02","5,47","79,29","241,77","29,21","104,32","90,50","29,47","82,58","306,86","-17,68"
2/20/2019 21:03,"0,065","64,30","93,35","5,67","79,29","242,60","29,00","104,35","90,36","29,41","82,66","306,78","-17,90"
2/20/2019 21:03,"0,066","64,27","93,21","5,42","79,29","242,18","29,04","104,57","90,39","29,25","82,74","306,94","-17,60"
2/20/2019 21:03,"0,067","64,16","92,96","5,36","79,34","241,82","29,08","104,46","90,19","29,39","82,68","306,72","-17,55"
2/20/2019 21:03,"0,068","64,05","92,99","5,61","79,70","242,35","28,96","104,73","90,33","29,20","82,76","307,03","-17,47"
2/20/2019 21:03,"0,069","64,27","92,91","5,53","79,29","241,99","28,87","104,46","90,06","29,14","82,76","306,42","-17,85"
2/20/2019 21:03,"0,070","64,54","92,88","5,58","79,31","242,32","29,08","104,71","90,03","29,17","82,90","306,80","-17,47"
2/20/2019 21:03,"0,071","64,35","92,91","5,53","79,53","242,32","29,13","104,65","90,00","29,09","82,76","306,50","-18,07"
2/20/2019 21:03,"0,072","64,27","92,91","5,56","79,45","242,18","28,91","104,68","89,67","29,03","83,13","306,52","-17,47"
2/20/2019 21:03,"0,073","64,30","92,93","5,50","79,61","242,35","28,96","104,54","89,95","29,11","82,95","306,55","-17,77"
2/20/2019 21:03,"0,074","64,38","92,93","5,53","79,64","242,48","28,96","105,07","89,56","28,92","83,19","306,74","-17,81"
2/20/2019 21:03,"0,075","64,35","92,96","5,45","79,67","242,43","29,13","105,04","89,45","28,92","83,16","306,57","-17,94"
2/20/2019 21:03,"0,076","64,52","92,91","5,45","79,48","242,35","29,00","105,01","89,34","28,95","83,26","306,57","-17,60"
2/20/2019 21:03,"0,077","64,41","93,02","5,34","79,56","242,32","29,04","105,12","89,40","28,81","83,42","306,76","-17,77"
2/20/2019 21:03,"0,078","64,49","93,02","5,45","79,64","242,59","29,21","105,23","89,18","28,70","83,32","306,43","-17,85"
2/20/2019 21:03,"0,079","64,60","92,96","5,39","79,75","242,70","29,21","105,43","89,23","28,92","83,40","306,98","-17,94"
2/20/2019 21:03,"0,080","64,43","92,88","5,50","79,86","242,67","29,26","105,37","89,15","28,87","83,26","306,66","-17,77"
2/20/2019 21:03,"0,081","64,49","92,88","5,45","79,81","242,62","29,21","105,46","88,88","28,65","83,50","306,48","-17,94"
2/20/2019 21:03,"0,082","64,38","93,07","5,36","79,81","242,62","29,21","105,57","88,96","28,51","83,26","306,30","-18,03"
2/20/2019 21:03,"0,083","64,65","92,85","5,23","79,81","242,54","29,21","105,51","88,88","28,54","83,58","306,51","-17,68"
2/20/2019 21:03,"0,084","64,82","92,71","5,39","79,72","242,65","29,30","105,76","88,60","28,29","83,50","306,16","-17,90"
2/20/2019 21:03,"0,085","64,79","92,91","5,67","79,89","243,25","29,34","105,65","88,46","28,57","83,69","306,37","-17,94"
2/20/2019 21:03,"0,086","64,82","92,82","5,20","80,00","242,84","29,26","105,96","88,46","28,48","83,63","306,54","-17,60"
2/20/2019 21:03,"0,087","64,82","93,02","5,36","79,86","243,06","29,21","106,04","88,41","28,37","83,58","306,40","-17,60"
2/20/2019 21:03,"0,088","64,93","93,04","5,58","80,02","243,58","29,26","105,90","88,35","28,37","83,84","306,47","-17,94"
2/20/2019 21:03,"0,089","64,82","93,02","5,56","80,02","243,42","29,21","105,85","88,41","28,37","83,69","306,32","-18,07"
2/20/2019 21:03,"0,090","64,65","92,91","5,50","80,16","243,22","29,26","106,01","88,33","28,16","84,05","306,55","-17,77"
2/20/2019 21:03,"0,091","64,79","93,07","5,42","79,89","243,17","29,52","106,10","88,22","28,32","83,90","306,53","-17,47"
2/20/2019 21:03,"0,092","64,71","93,04","5,42","79,89","243,06","29,65","106,04","88,08","28,37","83,79","306,29","-18,11"
2/20/2019 21:03,"0,093","64,93","93,02","5,45","80,05","243,44","29,52","105,90","88,16","28,29","83,84","306,20","-18,11"
2/20/2019 21:03,"0,094","64,79","93,13","5,34","79,97","243,22","29,39","105,93","87,89","28,24","84,00","306,06","-18,07"
2/20/2019 21:03,"0,095","64,87","93,13","5,34","80,11","243,44","29,52","106,26","87,92","28,48","84,13","306,80","-17,94"
2/20/2019 21:03,"0,096","64,87","92,96","5,45","80,30","243,58","29,30","106,21","87,89","28,07","83,95","306,12","-17,90"
2/20/2019 21:03,"0,097","64,79","93,24","5,34","80,08","243,44","29,56","106,21","88,19","28,37","83,79","306,56","-17,55"
2/20/2019 21:03,"0,098","64,96","93,29","5,61","80,19","244,05","29,26","106,48","87,92","28,21","84,16","306,77","-17,68"
2/20/2019 21:03,"0,099","64,76","93,35","5,50","80,35","243,96","29,60","106,48","87,97","28,10","84,21","306,77","-18,03"
2/20/2019 21:03,"0,100","64,85","93,35","5,45","80,30","243,94","29,65","106,35","87,75","28,16","84,05","306,31","-18,07"
