Left,Right
0.3,0.3
0.3,0.3
-0.9,0.9
-0.9,-0.4
-0.9,0.9
-0.3,0.9
-0.3,-1
-0.3,-1
0.3,-1
-0.3,-1
-1.6,0.9
0.3,-1.6
-2.2,-0.4
-1.6,0.3
0.3,1.5
-0.3,0.9
-0.3,-0.4
-0.3,-0.4
-0.3,0.9
-2.8,-0.4
0.3,0.9
-0.3,-1
-1.6,-0.4
-0.3,0.9
-0.3,1.5
0.3,-0.4
0.9,0.3
-0.3,0.9
1.5,0.3
0.3,0.3
-0.3,0.3
-0.3,0.3
0.9,-1.6
-0.3,0.9
0.9,1.5
0.3,0.9
0.3,0.3
0.9,-0.4
-0.9,-0.4
0.9,-1
0.9,0.3
-0.3,-0.4
0.9,0.3
1.5,0.9
0.9,-1.6
1.5,1.5
0.9,-1.6
0.3,0.3
-0.3,0.3
-0.9,-0.4
-0.3,0.3
0.9,0.3
0.9,-0.4
0.3,-0.4
-0.3,1.5
0.3,0.3
-0.3,-1
0.3,0.3
-0.9,0.9
0.9,0.3
0.3,-0.4
0.9,-0.4
-0.3,0.9
-0.9,0.9
0.3,0.3
-0.3,-1
1.5,-1
-0.3,0.9
-0.3,-0.4
0.3,-1
0.9,0.3
-0.3,0.9
-0.9,0.9
0.3,-1
-1.6,0.3
0.3,1.5
-0.3,-0.4
-0.3,0.9
-0.9,0.9
-0.3,0.3
0.3,-0.4
-0.9,0.9
-0.9,-0.4
-0.9,0.9
0.3,-1
0.3,0.3
-0.3,-1
-0.9,-0.4
-0.3,0.3
-0.9,0.3
0.3,0.3
-0.3,-1
-0.3,0.3
0.3,0.3
-0.9,-0.4
-0.3,0.9
-0.3,-0.4
-0.3,0.9
-0.3,0.3
-2.2,0.9
0.3,0.3
-0.9,0.9
-0.3,-1
0.3,-1.6
0.9,-0.4
-0.3,0.9
-0.3,0.9
-0.3,0.3
1.5,-1
-0.9,0.3
-0.9,0.3
-0.9,0.3
-1.6,-1
-0.3,-0.4
0.9,-1
-0.3,2.1
0.3,0.3
0.3,-0.4
1.5,-1.6
0.3,-0.4
1.5,-0.4
0.9,0.9
0.3,0.3
0.9,0.3
-0.3,1.5
0.3,-0.4
-0.9,0.9
-1.6,0.9
0.3,0.3
-0.9,0.9
0.9,0.9
-0.9,0.3
0.3,0.3
0.3,-1
-0.3,-0.4
0.3,-2.2
-0.3,-0.4
-0.3,-1.6
-0.9,-1
-5.9,-1
-0.3,0.3
0.9,0.9
-1.6,0.3
0.3,-0.4
0.9,-1
-0.9,-0.4
0.9,0.3
0.3,-1
0.9,0.9
0.3,-0.4
0.9,-0.4
-0.3,0.3
0.3,0.3
0.9,0.3
-0.3,-0.4
-0.3,0.3
-0.9,-0.4
-0.3,-0.4
-0.3,-0.4
-0.3,0.3
0.3,-0.4
-0.9,-1
-0.3,-0.4
-0.3,-1.6
0.3,0.9
-0.3,0.3
-0.3,-0.4
0.9,-0.4
0.9,-0.4
0.9,-0.4
0.3,-0.4
0.3,0.9
-0.3,-0.4
0.9,0.9
-0.9,-1
-0.9,-0.4
0.9,0.3
-0.9,-0.4
-0.9,-0.4
0.3,-1
0.3,0.9
0.9,0.3
-0.3,0.3
0.9,0.9
1.5,-0.4
-0.3,-0.4
0.9,-0.4
-0.9,-0.4
0.3,0.3
-0.3,0.3
-0.9,-0.4
0.3,-0.4
-0.9,0.9
1.5,-0.4
-0.3,0.3
0.9,0.3
0.3,0.3
-0.3,0.3
1.5,1.5
-0.9,0.3
-0.3,0.3
-0.3,0.3
-2.2,0.3
0.3,0.3
1.5,-1.6
0.9,-0.4
0.3,0.3
-0.3,0.9
0.3,-0.4
0.3,0.3
1.5,-0.4
1.5,-0.4
1.5,-0.4
0.9,-0.4
-3.4,-1
0.3,0.9
0.3,-0.4
0.3,0.3
0.3,-0.4
0.9,0.9
0.9,-1
-0.9,0.3
0.3,-0.4
-0.3,-0.4
0.9,0.3
0.3,-1
1.5,-1
-0.3,0.3
0.9,0.9
0.3,-0.4
0.3,-0.4
0.9,-0.4
1.5,-1
0.9,0.3
-0.3,-1
0.3,-1
-0.3,0.9
0.9,0.3
0.9,-1
-0.3,-2.2
0.9,-0.4
1.5,0.9
0.9,-0.4
0.3,-1
0.9,-0.4
0.3,-1
-0.3,0.9
2.2,-0.4
-0.3,-0.4
0.3,0.3
2.2,0.3
-0.3,0.3
0.3,-0.4
0.3,-0.4
0.9,0.3
-0.3,0.9
2.2,0.3
0.3,0.9
-0.3,0.3
0.3,-1
0.3,0.9
0.9,-0.4
-0.3,-1
0.9,-0.4
0.9,-1.6
0.3,-0.4
0.9,0.3
0.3,-0.4
0.3,1.5
1.5,-0.4
0.3,0.3
0.3,0.3
1.5,-1
0.9,0.9
1.5,-0.4
-0.3,-1
2.2,0.3
1.5,-1
-0.9,0.9
1.5,-0.4
1.5,0.9
-0.9,-0.4
0.3,-1
0.9,-0.4
0.3,0.3
0.3,-1
1.5,0.9
0.3,-1.6
-0.9,-0.4
0.3,0.3
-0.3,-0.4
1.5,-0.4
0.3,-1.6
-0.3,0.9
-0.9,1.5
-0.3,0.9
0.9,0.3
0.9,-0.4
0.9,-1
-0.3,-0.4
0.9,0.3
0.3,-1
-0.3,-0.4
0.9,-0.4
-0.3,-0.4
0.9,0.3
2.2,-1
0.3,-0.4
0.3,-0.4
-0.3,-0.4
0.9,0.3
0.9,-1
0.3,-0.4
2.8,1.5
0.3,0.3
0.3,-1
1.5,0.3
0.3,-0.4
1.5,-0.4
0.9,0.3
1.5,-0.4
-0.3,0.9
0.3,0.9
-0.3,0.3
0.3,0.9
0.9,0.9
0.9,0.3
0.3,1.5
0.3,-0.4
-3.4,0.3
0.9,0.3
0.3,0.3
-1.6,-0.4
-0.9,0.9
0.9,1.5
-4,1.5
-0.3,0.9
-0.3,0.3
0.9,-0.4
0.3,0.3
-0.3,0.3
0.3,0.9
1.5,0.3
-0.9,-1.6
-0.9,0.3
0.3,-1
0.9,0.3
0.3,0.3
0.3,-0.4
1.5,0.3
