Left,Right
-0.5,0.1
-1.1,0.1
-0.5,-1.2
1.4,0.1
0.8,0.7
-0.5,0.1
-1.1,0.1
-0.5,0.1
-0.5,-0.6
0.8,0.1
0.1,-1.8
-1.1,0.1
0.1,-0.6
-0.5,-1.2
0.1,0.7
-1.7,-0.6
0.1,0.1
-1.1,-1.2
0.1,-0.6
1.4,0.7
0.1,-0.6
0.1,0.1
-0.5,0.1
0.1,0.7
-0.5,0.7
0.1,0.7
0.8,0.1
0.8,0.1
0.8,0.1
-1.1,-1.2
2,-0.6
0.8,0.7
-1.1,1.9
1.4,0.1
-0.5,-0.6
1.4,0.1
-0.5,0.1
-2.3,-0.6
-0.5,-1.2
-2.3,0.1
-0.5,1.9
-0.5,-0.6
1.4,0.1
0.1,-0.6
-0.5,0.1
0.8,0.7
0.8,1.3
-1.1,0.1
-4.8,0.7
0.1,-0.6
-0.5,-0.6
-2.3,0.7
-0.5,0.1
0.1,0.1
1.4,-1.8
-0.5,-1.2
-1.1,0.7
0.8,0.7
0.8,-0.6
0.1,0.7
0.1,-0.6
0.1,1.3
0.1,-1.2
2,-0.6
1.4,0.1
0.1,0.7
1.4,0.1
0.8,-0.6
-0.5,1.3
4.5,0.7
0.1,0.7
1.4,0.7
0.1,-0.6
0.8,0.7
0.1,-0.6
-0.5,1.3
0.8,1.3
0.1,-1.2
-3.6,0.1
1.4,0.1
0.1,0.7
1.4,0.1
-0.5,0.1
0.1,-0.6
0.8,-0.6
-1.1,-0.6
-0.5,0.7
0.8,0.1
0.1,0.7
0.1,-1.2
0.8,0.7
0.1,0.1
0.8,0.7
0.1,-0.6
-0.5,-0.6
-0.5,-0.6
-0.5,-0.6
0.8,0.1
0.1,0.1
-0.5,1.3
0.8,0.7
0.1,-0.6
0.1,-0.6
0.8,0.7
-0.5,1.3
-1.1,0.7
0.1,2.5
1.4,0.7
-4.8,0.1
0.1,0.1
0.8,0.1
-4.8,1.3
-0.5,1.9
-0.5,0.1
2,0.1
0.8,0.1
0.1,-0.6
-0.5,0.1
-0.5,0.1
0.8,0.1
0.8,0.1
1.4,0.7
0.1,0.7
1.4,1.3
0.8,-0.6
0.1,0.7
1.4,0.7
-0.5,-0.6
0.1,-1.2
0.8,0.7
0.8,0.1
0.8,-1.2
0.8,0.7
-1.7,0.1
0.8,0.7
0.8,-1.2
1.4,0.7
-1.1,-0.6
0.8,0.1
0.1,-0.6
0.8,0.1
1.4,0.7
-1.1,0.1
0.8,-0.6
-1.1,0.1
-1.1,-1.8
0.1,1.3
-0.5,-0.6
-1.1,1.3
0.1,0.7
-0.5,-0.6
0.1,0.7
0.8,-0.6
1.4,1.3
-0.5,0.7
0.1,0.1
-1.1,0.7
-0.5,-0.6
1.4,0.1
1.4,-1.8
-0.5,-1.2
-1.1,-0.6
-1.1,1.3
0.1,0.7
0.8,0.1
0.1,-1.2
0.1,0.7
0.8,-1.2
0.8,0.1
-1.7,0.1
0.1,-0.6
0.1,-1.2
0.8,0.7
0.8,0.1
-0.5,-1.2
0.8,1.3
-0.5,-0.6
-1.7,0.7
0.8,-0.6
0.1,0.1
0.1,-0.6
0.8,0.1
-0.5,-1.2
-0.5,0.7
0.8,0.1
0.1,-0.6
0.8,1.3
-1.1,0.1
-0.5,0.1
-0.5,0.7
-0.5,0.1
-0.5,-1.8
0.1,-0.6
-0.5,-0.6
0.1,0.1
-1.7,-0.6
-2.3,0.1
1.4,0.1
0.1,0.7
0.8,-1.2
-1.1,-0.6
0.1,0.7
0.1,0.7
-0.5,1.3
-0.5,-1.2
-1.1,0.7
-0.5,-0.6
0.1,-0.6
-0.5,0.1
1.4,0.1
-1.1,-1.8
