Z Left,Z Right
0.59729,-2.027597
0.902466,-1.722421
1.207641,-2.027597
-0.928589,-2.332773
-1.233765,-2.027597
-0.470825,-2.027597
-1.386353,-1.11207
-0.470825,-0.806894
1.512817,-0.196542
-0.16565,0.261221
0.444702,-0.196542
1.360229,0.108633
-0.928589,-0.043955
-0.623413,-0.34913
0.59729,-0.043954
-0.318238,-0.654306
0.749878,-0.34913
1.360229,-1.722421
-0.318238,-1.875009
0.292114,-2.332773
-0.013062,-2.637949
-1.386353,-2.332773
-0.776001,-2.180185
0.902466,-1.875009
-0.776001,-1.722421
0.749878,-1.417246
1.512817,-0.654306
-0.776001,-0.196542
0.444702,1.024161
-0.470825,0.871573
-1.538941,0.871573
0.139526,0.261221
-0.623413,-0.196542
-1.233765,-0.806894
1.360229,-2.485361
-0.16565,-1.569833
-1.386353,-2.332773
-0.16565,-2.180185
-0.776001,-2.180185
-1.386353,-2.332773
1.512817,-1.722421
-0.470825,-2.180185
-0.470825,-1.722421
1.817993,-0.196542
-0.623413,0.108633
-1.233765,1.176749
0.139526,0.566397
-1.691529,0.566397
-1.233765,0.871573
0.444702,-1.11207
-0.623413,-0.959482
0.59729,-1.569833
1.512817,-0.654306
-0.16565,-1.722421
-0.470825,-1.875009
0.139526,-2.790537
-1.386353,-3.095712
-0.013062,-2.790537
1.055054,-2.332773
-0.470825,-0.806894
0.444702,-0.196542
0.59729,0.261221
-1.081177,0.718985
-0.623413,0.413809
-0.318238,0.566397
-0.928589,0.718985
0.59729,0.413809
1.512817,-0.196542
0.444702,-1.11207
1.665405,-0.654306
0.749878,-2.180185
-1.233765,-2.180185
-0.928589,-2.943124
0.444702,-2.485361
-0.928589,-1.875009
-0.013062,-2.180185
0.444702,-1.264658
-0.623413,-0.959482
1.207641,-0.654306
0.292114,-0.043955
-1.996704,0.261221
-0.16565,1.176749
-0.16565,0.718985
-1.081177,1.176749
1.207641,-0.043955
-0.013062,-1.11207
-1.386353,-1.417246
0.139526,-2.180185
-1.233765,-1.875009
-2.454468,-2.332773
0.139526,-2.180185
-0.623413,-2.027597
-0.928589,-2.790537
2.123169,-1.875009
0.292114,-2.027597
-0.623413,-0.959482
1.360229,0.108633
-1.538941,-0.043955
-1.233765,0.871573
0.444702,0.108633
-1.386353,0.413809
-0.318238,-0.34913
1.665405,-0.806894
-0.318238,-0.959482
-0.318238,-2.180185
-0.318238,-2.180185
-1.844116,-2.027597
-0.013062,-2.332773
1.207641,-2.943124
-0.776001,-3.553476
0.59729,-2.332773
1.207641,-2.180185
-1.233765,-0.654306
-0.013062,-0.654306
-1.233765,-0.043955
-1.996704,-0.196542
-0.623413,-0.501718
0.292114,-0.196542
-0.470825,-0.654306
1.055054,0.566397
0.902466,-0.043954
-0.776001,-0.959482
-0.318238,-1.722421
-0.470825,-2.637949
-1.233765,-2.637949
-0.623413,-2.943124
-0.776001,-2.943124
-0.013062,-1.569833
0.292114,-2.485361
-0.623413,-1.722421
-1.386353,-1.264658
-0.928589,-1.722421
-0.623413,-0.043955
-1.081177,-0.043955
0.139526,0.413809
0.749878,-0.196542
-0.928589,-0.34913
0.444702,-0.196542
-1.081177,-0.806894
-2.607056,-1.722421
-0.928589,-2.637949
-0.928589,-2.027597
-1.538941,-1.875009
1.055053,-2.027597
-0.16565,-2.637949
-0.928589,-1.875009
0.749878,-1.722421
-0.928589,-2.027597
-1.691529,-1.569833
0.292114,-0.34913
-1.233765,-0.196542
-0.928589,0.413809
1.055054,-0.654306
-0.16565,0.108633
-0.470825,-0.654306
1.207641,-0.34913
-2.30188,-0.806894
-0.928589,-0.806894
0.292114,-2.027597
-1.233765,-2.790537
0.444702,-2.790537
