fp1,fp2
399.52,405.08
399.42,404.95
398.92,405.33
399.03,405.5
397.97,405.83
397.83,405.61
398.03,405.61
397.03,405.88
397.15,405.88
396.63,405.58
395.99,406.05
395.61,405.78
395.16,405.42
394.97,405.39
394.6,405.66
394.4,405.23
394.17,405.42
393.8,405.31
393.23,405.47
393.46,405.53
392.64,405.09
392.56,405.28
392.72,405.44
392.87,405.33
392.24,405
391.91,405.03
392.1,405.41
391.42,405.22
391.64,404.81
391.28,404.72
391.16,405.11
391.31,404.92
390.97,404.78
390.38,404.51
390.66,404.7
390.45,404.78
389.92,404.37
390.09,404.09
389.43,403.93
389.34,404.15
389.65,404.13
389.19,404.15
389.06,404.29
388.81,403.74
388.05,404.68
388.22,404.35
387.77,404.38
387.89,404.68
387.06,405.02
387.15,404.77
386.11,404.85
386.12,405.13
385.63,405.13
385.19,405.6
385.3,405.71
384.45,405.74
383.9,405.25
383.44,405.77
383.45,406.27
382.78,405.89
382.66,406.58
382.07,406.6
381.68,406.19
381.53,406.49
381.23,406.52
380.71,406.41
379.72,406.69
379.81,407.05
379.08,407.24
378.81,406.97
378.01,407.19
377.9,407.39
377.83,407.55
377.04,408.22
377.15,408.08
376.7,407.53
376.21,408.39
376.22,408.42
375.24,408.33
375.54,408.03
374.96,408.67
374.66,408.84
374.75,409.06
374.7,409.39
374.33,409.67
373.67,409.72
373.74,409.53
374,409.53
373.82,410.17
373.07,409.97
372.89,410.55
372.31,410.72
372.92,410.89
372.55,410.91
372.63,411.33
372.5,411.38
372.2,411.6
372.26,411.85
372.22,411.63
371.79,412.38
371.64,412.51
371.38,412.57
371.48,412.73
371.49,412.76
371.23,413.26
371.12,413.09
371.06,413.34
371.44,413.64
371.16,413.89
371.25,414.6
370.91,414.39
370.68,414.69
370.36,414.85
370.55,414.85
371.11,414.93
370.42,415.13
370.71,415.46
370.39,415.76
370.1,416.09
370.44,416.5
370.07,416.42
370.04,416.11
370.04,417.07
369.41,416.88
369.69,416.85
369.35,417.1
369.19,417.62
369.66,417.65
