Normal Force (N),Normal Force (N),Normal Force (N),Normal Force (N),Normal Force (N),Normal Force (N),Normal Force (N),Normal Force (N)
1.67,1.46,-0.43,1.42,631.79,63.61,-0.02,1.85
1.79,0.94,-0.27,2.02,631.23,64.7,-0.05,1.83
2.31,0.61,-0.44,1.28,631.25,65.95,-0.46,2.08
2.49,0.85,-0.11,1.59,630.47,66.91,-0.43,2.16
2.57,0.27,-0.22,1.99,630.45,68.61,-0.05,2.16
2.05,0.94,-0.27,2.05,630.22,69.74,-0.59,2.13
1.36,0.7,-0.76,1.72,629.77,70.53,-0.4,1.51
1.7,0.67,-0.54,1.39,629.81,71.68,-0.47,1.35
1.7,-0.07,-0.23,1.16,629.76,72.76,-1.11,1.94
2.01,0.18,0.12,1.4,629.31,74.36,-0.62,1.88
2.65,0.61,0.15,1.45,628.46,76.29,-0.52,1.88
2.37,1.02,0.1,0.71,628.01,78.24,-0.6,1.8
2.67,0.58,-0.35,1.27,626.95,79.97,-0.52,2.11
2.04,-0.43,-0.43,0.89,626.65,81.76,-0.33,1.94
1.5,-1.11,0,1.29,626.19,83.46,-0.46,1.88
0.65,-0.95,-0.32,0.74,625.69,84.74,-0.6,1.89
-0.06,-1.44,-0.44,1.38,624.47,85.85,-0.3,1.89
-0.96,-0.9,-0.6,0.65,624.04,87.37,-0.49,2.19
-1.76,-0.53,-0.41,0.92,623,88.29,-0.3,1.56
-1.68,-0.28,-0.24,0.44,622.09,89.62,-0.3,1.81
-1.79,0.07,-0.11,0.77,621.6,90.49,-0.04,1.94
-1.88,0.1,-0.4,0.51,621.42,91.85,-0.43,2.49
-2.21,0.35,-0.4,0.43,620,93.31,0.02,2
-2.25,0.21,-0.38,1.04,619.26,94.5,-0.16,2.86
-1.61,-0.14,-0.62,1.47,619.13,96.04,-0.27,2.05
-1.5,-0.2,-0.26,1.28,617.88,97.48,-0.35,2.19
-1.4,0.2,-0.32,0.68,617.65,98.61,-0.14,2.35
-1.46,0.12,-0.27,0.13,616.94,99.97,-0.38,2.49
-1.76,0.04,-0.11,-0.37,616.32,101.13,-0.19,2.03
-1.77,1.21,-0.25,-1.04,615.02,102.46,-0.36,1.67
-1.78,0.73,-0.73,-0.87,613.83,103.11,0.09,2.4
-1.52,0.79,-0.92,-1.64,612.41,103.99,0.05,2
-1.13,1.23,-0.98,-0.99,611.49,104.94,-0.2,2.18
-0.91,2.3,-1,-0.21,610.59,105.81,-0.29,1.73
-0.83,1.85,-0.98,0.27,609.24,106.35,0.1,2.19
-0.53,2.27,-0.62,0.33,608.33,107.67,-0.14,2.24
-0.08,2.6,-0.63,0.35,607.33,108.4,-0.16,2.07
0.05,3.15,-1.22,-0.28,605.65,109.4,0.05,2.48
0.34,3.59,-0.57,-0.44,604.34,109.65,-0.25,2.18
0.72,3.86,-0.44,-0.56,603.04,110.73,0.24,2.32
1.24,4.3,-0.79,-0.92,601.05,111.68,-0.42,2.21
1.71,3.88,-0.95,-1.13,599.48,112.15,-0.79,2.21
1.8,2.9,-0.49,-1.38,598.18,113.42,-0.73,2.13
2,2.88,-0.54,-0.74,596.86,114.07,-1.01,2.43
2.28,2.9,-0.47,-0.17,595.23,115.7,-0.73,1.94
1.81,2.22,-0.79,0.62,593.39,116.6,-0.23,2.08
1.6,1.94,-0.9,0.32,591.73,117.49,-0.57,2.32
0.92,1.37,-0.53,0.15,590.02,118.36,-0.3,2.21
0.79,1.75,-0.64,-0.34,588.52,118.79,-0.25,2.32
0.68,2.19,-0.78,-0.24,586.33,119.35,-0.2,2.07
0.44,2.25,-0.69,-0.4,584.62,120.08,-0.14,2.46
0.3,3.05,-0.61,-0.02,583.19,121.15,-0.14,2.32
-0.03,3.29,-0.8,-0.75,581.38,122.07,0.05,2.03
0.26,3.64,-0.48,-0.37,580.66,123.72,-0.11,2.13
0.13,3.39,-0.56,-0.03,579.28,124.12,-0.09,2.38
0.42,2.79,-0.83,-0.57,577.33,125.51,-0.3,2.32
0.14,1.84,-0.59,-0.17,575.08,126.91,-0.39,2.19
0.38,1.17,-0.75,0.21,573.43,128,-1.03,2.13
0.54,0.29,-0.08,-0.18,571.78,129.63,-0.11,2.22
-0.02,0.6,-0.43,-0.8,569.46,130.85,0.1,2.43
-0.59,0.95,-0.34,-0.83,566.63,131.46,-0.11,2.32
-1.03,1.65,0.25,-1.53,564.93,133.03,-0.08,1.84
-0.53,2.02,-0.35,-0.99,562.85,134.2,-0.46,1.62
-1.82,1.89,-0.43,-0.96,560.37,135.66,-0.27,2.08
-1.45,2.24,-0.4,-0.94,558.45,136.68,-0.3,2.67
-2.11,2.35,-0.22,0.2,555.94,138.39,-0.29,1.99
-1.52,2.08,-0.03,-0.7,554.13,140.21,-0.92,1.86
-1.03,1.67,-0.87,-0.18,550.62,141.49,-0.73,2.13
-0.62,0.59,-0.76,-0.45,548.76,143.57,-0.44,1.8
-0.13,1.13,-1.19,-0.21,546.84,143.95,-0.41,1.75
-0.23,0.97,-0.98,-0.05,544.48,145.87,-0.31,2.18
0.25,1.1,-0.63,-0.28,541.81,147.28,-0.38,2.29
0.23,1.15,-0.65,0.06,539.05,149.98,-0.57,2.14
0.48,1.5,-0.61,-0.26,537.19,151.49,-0.44,2.02
0.63,1.5,-0.39,-0.13,534.06,153.93,-0.09,2.24
0.72,1.12,-0.54,0.14,531.93,154.15,-0.55,1.83
